<latex> Definition (13.1.1): The Distance Formula in Three Dimensions </latex>	<latex> $d(P_{1}, P_{2}) = \sqrt{x_{2} - x_{1})^{2} + (y_{2} - y_{1})^{2} + (z_{2} - z_{1})^{2}}$ </latex>
<latex> 5.1.3: Innter Product Spaces Properties </latex>	<latex> The inner product is defined as the function that satisifies the following properties:$$\text{1. (Conjugate) symmetry:} (\overrightarrow{x}, \overrightarrow{y}) = \overline{(\overrightarrow{y},\overrightarrow{x})} \text{ note, that for a real space,this property is just symmetry } (\overrightarrow{x}, \overrightarrow{y}) = (\overrightarrow{y},\overrightarrow{x})$$$$\text{ 2. Linearity: } (\alpha\overrightarrow{x} + \beta \overrightarrow{y} , \overrightarrow{z}) = \alpha (\overrightarrow{x}, \overrightarrow{z}) + \beta (\overrightarrow{y}, \overrightarrow{z}) \text{for all vector } \overrightarrow{x}, \overrightarrow{y}, \overrightarrow{z} \text{ and all scalars } \alpha, \beta$$$$\text{3: Non-negativity}(\overrightarrow{x}, \overrightarrow{x})\geq0\text{ for all } \overrightarrow{x}$$$$\text{ 4. Non-degeneracy: } (\overrightarrow{x}, \overrightarrow{x}) = 0 \text{ if and only if } \overrightarrow{x} = 0 $$ </latex>
<latex> 5.1.4: Corollary 1.5: Property of Equilvalent Vectors in Inner Product Spaces </latex>	<latex> Let $\overrightarrow{x}, \overrightarrow{y}$ be vectors in an inner product space $V$. The equality $\overrightarrow{x} = \overrightarrow{y}$ holds if and only if $$(\overrightarrow{x}, \overrightarrow{z}) = (\overrightarrow{y}, \overrightarrow{z}) \text{ for all } \overrightarrow{z} \in V$$ </latex>
<latex> 5.1.4: Corollary 1.6: Operators with Equalivalent Inner Products </latex>	<latex> Suppose two operators $A, B: X \to Y$ satisfy$$(A\overrightarrow{x}, \overrightarrow{y}) = (B\overrightarrow{x}, \overrightarrow{y})$$Then $A = B$. </latex>
<latex> 5.1.4: Theorem 1.7: Cauchy-Schwarz Inequality </latex>	<latex> $$|(\overrightarrow{x}, \overrightarrow{y})| \leq ||\overrightarrow{x}|| ||\overrightarrow{x}||$$ </latex>
<latex> 5.1.4: Lemma 1.8: Triangle Inequality </latex>	<latex> For any vectors $\overrightarrow{x}, \overrightarrow{y}$ in an inner prodct space$$||\overrightarrow{x} + \overrightarrow{y}|| \leq ||\overrightarrow{x}|| + ||\overrightarrow{y}||$$ </latex>
<latex> 5.1.4: Lemma 1.9: Polarization Identities </latex>	<latex> For $\overrightarrow{x}, \overrightarrow{y} \in V$$$(\overrightarrow{x}, \overrightarrow{y}) = \frac{1}{4} (||\overrightarrow{x} + \overrightarrow{y}||^{2} - ||\overrightarrow{x} - \overrightarrow{y}||^{2})$$if $V$ is a real inner product space, and$$(\overrightarrow{x}, \overrightarrow{y}) = \frac{1}{4} \sum_{\alpha = \pm 1, \pm i} \alpha ||\overrightarrow{x} + \alpha \overrightarrow{y}||^{2}$$if $V$ is a complex inner product space.  </latex>
<latex> 5.1.4: Lemma 1.10: Parallelogram Identity </latex>	<latex> For any vectors $\overrightarrow{u}, \overrightarrow{v}$$$||\overrightarrow{u} + \overrightarrow{v}||^{2} + ||\overrightarrow{u} - \overrightarrow{v}||^{2} = 2(||\overrightarrow{u}||^{2} + ||\overrightarrow{v}||^{2})$$ </latex>
<latex> 5.1.5: Definition: Normed Space </latex>	<latex> A vector space $V$ equipped with a norm is called a normal space </latex>
<latex> 5.1.5: Theorem 1.11: Norm Obtained from Inner Product </latex>	<latex> A norm in a normed space is obtained from some inner product if and only if it satisfies the Parallelogram Identity.  </latex>
<latex> 5.2.1: Definition 2.1: Orthogonal </latex>	<latex> Two vectors $\overrightarrow{u}$ and $\overrightarrow{v}$ are called orthogonal (also perpendicular ) if $(\overrightarrow{u}, \overrightarrow{v}) = 0$ </latex>
<latex> 5.2.1: Definition 2.2: Orthogonality to a Subspace </latex>	<latex> We say that a vector $\overrightarrow{v}$ is orthogonal to a subspace $E$ if $\overrightarrow{v}$is orthogonal to all vectors $\overrightarrow{w}$ in $E$. </latex>
<latex> 5.2.1: Lemma 2.3: Perpendicular Vectors to Spanning Vectors </latex>	<latex> Let $E$ be spanned by vectors $\overrightarrow{v_{1}}, \overrightarrow{v_{2}}, ..., \overrightarrow{v_{r}}$ Then $\overrightarrow{v} \perp E$ ifand only if$$\overrightarrow{v} \perp \overrightarrow{v_{k}} \text{ for all } k = 1, 2, ..., r$$ </latex>
<latex> 5.2.1: Definition: Orthogonal System of Vectors  </latex>	<latex> A system of vectors $\overrightarrow{v_{1}}, \overrightarrow{v_{2}}, ..., \overrightarrow{v_{n}}$  is called orthogonal if any two vectors are orthogonal to each other. </latex>
<latex> 5.2.1: Definition: Orthonormal System of Vectors </latex>	<latex> An othogonal system of vectors in which $$||\overrightarrow{v_{k}}|| = 1 \text{ for all } k$$ </latex>
<latex> 5.2.1: Lemma 2.5: Generalize Pythagorean Identity </latex>	<latex> If $\overrightarrow{v_{1}}, ..., \overrightarrow{v_{n}}$ are an orthogonal system of vectors, then$$||\sum_{k=1}^{n}\alpha_{k}\overrightarrow{v_{k}}||^{2} = \sum_{k=1}^{n}|\alpha_{k}|^{2}||\overrightarrow{v_{k}}||^{2}$$ </latex>
<latex> 5.2.1: Corollary 2.6: Linear Dependence of Orthogonal System of Vectors </latex>	<latex> Any orthogonal system of non-zero vectors is linearly independent. </latex>
<latex> 5.2.1: Definition 2.7: Orthogonal and Orthonormal Bases </latex>	<latex> An orthogonal (orthonormal) system whichis also a basis is called an orthogonal (orthonormal) basis. </latex>
<latex> 5.3.1: Definition 3.1: Orthogonal Projection </latex>	<latex> For a vector $\overrightarrow{v}$ its orthogonal projection $P_{E}\overrightarrow{v}$ onto the subspace $E$ is a vector $\overrightarrow{w}$ such that$$\text{1. } \overrightarrow{w} \in E$$$$\text{2. } \overrightarrow{v} - \overrightarrow{w} \perp E$$ </latex>
<latex> 5.3.2: Theorem 3.2: Distance Minimized by Orthogonal Projection </latex>	<latex> The orthogonal projection $\overrightarrow{w} = P_{E}\overrightarrow{v}$ minimizes the distance from $\overrightarrow{v}$ to $E$. For all $\overrightarrow{x} \in E$$$||\overrightarrow{v} - \overrightarrow{w}|| \leq ||\overrightarrow{v} - \overrightarrow{x}||$$But if $\overrightarrow{x} \in E$$$||\overrightarrow{v} - \overrightarrow{w}|| = ||\overrightarrow{v} - \overrightarrow{x}||$$Then $\overrightarrow{x} = \overrightarrow{w}$ </latex>
<latex> 5.3.1: Proposition 3.3:  Formula for Orthogonal Projection </latex>	<latex> Let $\overrightarrow{v_{1}}, ..., \overrightarrow{v_{n}}$ be an orthogonal basis in $E$. Then the orthogonal projection $P_{E}\overrightarrow{v}$ of a vector $\overrightarrow{v}$ is given by the formula$$P_{E}\overrightarrow{v} = \sum_{k=1}^{n} \alpha_{k}\overrightarrow{v_{k}} \text{ where } \alpha_{k} = \frac{(\overrightarrow{v}, \overrightarrow{v_{k}})}{||\overrightarrow{v_{k}}||^{2}}$$In other words$$P_{E}\overrightarrow{v} = frac{(\overrightarrow{v}, \overrightarrow{v_{k}})}{||\overrightarrow{v_{k}}||^{2}}\overrightarrow{v_{k}}$$ </latex>
<latex> 5.3.3: Definition: Orthogonal Complement </latex>	<latex> For a subspace $E$ its orthogonal complement $E^{\perp}$ is the set ofall vectors orthogonal to $E$ </latex>
<latex> 5.3.3: Proposition 3.6: Orthogonal Compliment of the Orthogonal Compliment </latex>	<latex> For a subspace $E$$$(E^{\perp})^{\perp} = E$$ </latex>
<latex> 5.4.2: Theorem 4.1: Null Space Equivalency of Matrix and its Normal Equaton </latex>	<latex> For an $m \times n$ matrix $A$$$\text{Ker}A = \text{Ker}(A^{*}A)$$ </latex>
<latex> 5.4.1: Definition: Normal Equation </latex>	<latex> $$A^{*}A \overrightarrow{x} = A^{*}\overrightarrow{b}$$A solution to this equation gives the least square solution of $A\overrightarrow{x} = \overrightarrow{b}$ </latex>
<latex> 5.4.2: Defintion: Formula for Orthogonal Projection </latex>	<latex> $P_{\text{Ran}A}\overrightarrow{b} = A(A^{*}A)^{-1}A^{*}\overrightarrow{b}$ </latex>
<latex> 5.5.1: Theorem: Identity of Adjoint Matrices in Inner Products </latex>	<latex> $$(A\overrightarrow{x}, \overrightarrow{y}) = (\overrightarrow{x}, A^{*}\overrightarrow{y})$$ </latex>
<latex> 5.5.2: Theorem 5.1: Range and Null Spaces of Adjoint Matrices </latex>	<latex> Let $A: V \to W$ be an operator acting from one inner product space to another. Then$$\text{ 1. } \text{Ker} A^{*} = (\text{Ran} A)^{\perp}$$$$\text{ 2. } \text{Ker} A = (\text{Ran} A^{*})^{\perp}$$$$\text{ 3. } \text{Ran} A= (\text{Ker} A^{*})^{\perp}$$$$\text{ 4. } \text{Ran} A^{*}= (\text{Ker} A)^{\perp}$$ </latex>
<latex> 5.6.1: Definition: Isometry </latex>	<latex> An operator $U: X \to Y$ is called an isometry, if it preservesthe norm$$||U\overrightarrow{x}|| = ||\overrightarrow{x}|| \text{ for all } \overrightarrow{x} \in X$$ </latex>
<latex> 5.6.1: Theorem 6.1: Inner Product of Isometry </latex>	<latex> An operator $U: X \to Y$ is an isometry if and only if it preserves the inner product,$$(\overrightarrow{x}, \overrightarrow{y}) = (U\overrightarrow{x}, U\overrightarrow{y}) \text{ for all } \overrightarrow{x}, \overrightarrow{y} \in X$$ </latex>
<latex> 5.6.1: Lemma 6.2: The Adjoint Times a Isometry </latex>	<latex> An operator $U: X \to Y$ is an isometry if and only if $U^{*}U = I$ </latex>
<latex> 5.6.2: Definition: Unitary Operator </latex>	<latex> An isometry $U: X \to Y$ is called a unitary operator if it is invertible </latex>
<latex> 5.6.1: Proposition 6.3: Dimension of Unitary Operators </latex>	<latex> An isometry $U: X \to Y$ is a unitary operator if and only if $\text{dim}X = \text{dim}Y$ </latex>
<latex> 5.6.3: Proposition 6.4: Properties of Determinant and Eigenvalues of Unitary Matrices </latex>	<latex> Let $U$ be a unitary matrix. Then$$\text{1. }|\text{det}U| = 1 \text{. In particular, for an orthogonal matrix } \text{det}U = \pm 1$$$$\text{2. }\text{If } \lambda \text{ if an eigenvalue of } U \text{, then } |\lambda| = 1$$<br_off /> </latex>
<latex> 5.6.4: Definition: Unitary Equivalent </latex>	<latex> Operators (matrices) $A$ and $B$ are called unitarily equivalent if there exists a unitary operator $U$ such that $A = UBU^{*}$ </latex>
<latex> 5.6.4: Proposition 6.5: Unitary Equivalence to a Diagonal Matrix </latex>	<latex> A matrix $A$ is unitarily equivalent to a diagonal one ifn and only if it has an orthogonal (orthonormal) basis of eigenvectors. </latex>
<latex> Definition: Bijective </latex>	<latex> A map is called bijective if it is both injective and surjective. </latex>
<latex> Definition: Injective </latex>	<latex> If a function $f$ is defined on value in a set $A$ and takes values in a set $B$, $f$ is said to be injective if whenever $f(x) = f(y)$, $x =y$. In other words, it maps distinct object to distinct objects or is said to be one to one.  </latex>
<latex> Kernal of Injective Linear Transformation </latex>	<latex> A linear transformation is injective if and only if its kernal is only the zero vector.  </latex>
<latex> Definition: Surjective </latex>	<latex> A function $f$ that is defined on values in the set $A$ and takes values in the set $B$ is said to be surjective if for any $\overrightarrow{b} \in B$ there exists an $\overrightarrow{a} \in A$ such that $f(\overrightarrow{a}) = \overrightarrow{b}$. $f$ is then also said to be onto.  </latex>
